"zip","latitude","longitude"
"00210",43.00,-71.01
"00211",43.00,-71.01
"00212",43.00,-71.01
"00213",43.00,-71.01
"00214",43.00,-71.01
"00215",43.00,-71.01
"00401",41.13,-73.78
"00501",40.92,-72.63
"00544",40.92,-72.63
"01001",42.07,-72.62
"01002",42.36,-72.46
"01003",42.39,-72.52
"01004",42.38,-72.51
"01005",42.40,-72.10
"01007",42.27,-72.41
"01008",42.18,-72.93
"01009",42.20,-72.34
"01010",42.11,-72.18
"01011",42.27,-72.98
"01012",42.39,-72.82
"01013",42.15,-72.60
"01014",42.17,-72.60
"01020",42.17,-72.57
"01021",42.17,-72.60
"01022",42.19,-72.55
"01026",42.46,-72.92
"01027",42.36,-72.76
"01028",42.06,-72.50
"01029",42.19,-73.05
"01030",42.07,-72.67
"01031",42.33,-72.19
"01032",42.46,-72.84
"01033",42.25,-72.52
"01034",42.11,-72.95
"01035",42.36,-72.57
"01036",42.06,-72.43
"01037",42.34,-72.22
"01038",42.38,-72.61
"01039",42.38,-72.70
"01040",42.20,-72.62
"01041",42.17,-72.60
"01050",42.26,-72.87
"01053",42.35,-72.70
"01054",42.46,-72.49
"01056",42.17,-72.47
"01057",42.10,-72.31
"01059",42.36,-72.63
"01060",42.32,-72.63
"01061",42.36,-72.63
"01062",42.32,-72.69
"01063",42.31,-72.64
"01066",42.40,-72.63
"01068",42.34,-72.05
"01069",42.17,-72.32
"01070",42.51,-72.91
"01071",42.14,-72.84
"01072",42.48,-72.42
"01073",42.22,-72.71
"01074",42.37,-72.14
"01075",42.23,-72.58
"01077",42.05,-72.77
"01079",42.19,-72.32
"01080",42.18,-72.36
"01081",42.06,-72.20
"01082",42.26,-72.25
"01083",42.20,-72.19
"01084",42.39,-72.87
"01085",42.15,-72.76
"01086",42.17,-72.84
"01088",42.39,-72.64
"01089",42.11,-72.64
"01090",42.17,-72.60
"01092",42.20,-72.22
"01093",42.44,-72.65
"01094",42.35,-72.14
"01095",42.12,-72.44
"01096",42.40,-72.77
"01097",42.16,-72.84
"01098",42.38,-72.93
"01101",42.17,-72.60
"01102",42.17,-72.60
"01103",42.10,-72.58
"01104",42.12,-72.57
"01105",42.09,-72.57
"01106",42.05,-72.56
"01107",42.11,-72.60
"01108",42.08,-72.55
"01109",42.11,-72.55
"01111",42.17,-72.60
"01114",42.17,-72.60
"01115",42.10,-72.59
"01116",42.17,-72.60
"01118",42.09,-72.52
"01119",42.12,-72.51
"01128",42.09,-72.48
"01129",42.12,-72.48
"01133",42.17,-72.60
"01138",42.17,-72.60
"01139",42.17,-72.60
"01144",42.10,-72.59
"01151",42.15,-72.50
"01152",42.17,-72.60
"01195",42.10,-72.59
"01199",42.11,-72.60
"01201",42.45,-73.24
"01202",42.39,-73.22
"01203",42.39,-73.22
"01220",42.62,-73.11
"01222",42.05,-73.32
"01223",42.35,-73.12
"01224",42.50,-73.19
"01225",42.56,-73.15
"01226",42.47,-73.16
"01227",42.51,-73.09
"01229",42.27,-73.34
"01230",42.19,-73.36
"01235",42.42,-73.07
"01236",42.26,-73.37
"01237",42.54,-73.26
"01238",42.29,-73.23
"01240",42.36,-73.27
"01242",42.33,-73.25
"01243",42.35,-73.01
"01244",42.12,-73.25
"01245",42.18,-73.20
"01247",42.69,-73.08
"01252",42.19,-73.44
"01253",42.18,-73.08
"01254",42.37,-73.36
"01255",42.10,-73.11
"01256",42.57,-73.02
"01257",42.10,-73.36
"01258",42.10,-73.45
"01259",42.07,-73.26
"01260",42.28,-73.31
"01262",42.30,-73.32
"01263",42.39,-73.22
"01264",42.22,-73.19
"01266",42.33,-73.38
"01267",42.70,-73.20
"01270",42.51,-73.04
"01301",42.60,-72.62
"01302",42.52,-72.62
"01330",42.52,-72.81
"01331",42.54,-72.18
"01337",42.69,-72.57
"01338",42.57,-72.82
"01339",42.60,-72.89
"01340",42.67,-72.72
"01341",42.51,-72.70
"01342",42.54,-72.60
"01343",42.64,-72.98
"01344",42.60,-72.42
"01346",42.68,-72.83
"01347",42.55,-72.51
"01349",42.57,-72.48
"01350",42.72,-72.97
"01351",42.54,-72.53
"01354",42.63,-72.51
"01355",42.51,-72.30
"01360",42.68,-72.45
"01364",42.61,-72.29
"01366",42.48,-72.18
"01367",42.69,-72.92
"01368",42.67,-72.19
"01369",42.52,-72.62
"01370",42.60,-72.73
"01373",42.47,-72.61
"01375",42.45,-72.56
"01376",42.59,-72.55
"01378",42.66,-72.33
"01379",42.56,-72.40
"01380",42.55,-72.39
"01420",42.57,-71.80
"01430",42.64,-71.92
"01431",42.67,-71.81
"01432",42.55,-71.57
"01433",42.53,-71.62
"01434",42.53,-71.61
"01436",42.59,-72.06
"01438",42.55,-72.02
"01440",42.57,-71.98
"01441",42.36,-71.89
"01450",42.61,-71.55
"01451",42.49,-71.57
"01452",42.48,-72.00
"01453",42.52,-71.75
"01460",42.54,-71.48
"01462",42.58,-71.72
"01463",42.66,-71.59
"01464",42.57,-71.64
"01466",42.61,-71.92
"01467",42.48,-71.61
"01468",42.54,-72.06
"01469",42.65,-71.68
"01470",42.44,-71.45
"01471",42.44,-71.45
"01472",42.44,-71.45
"01473",42.54,-71.90
"01474",42.66,-71.75
"01475",42.67,-72.04
"01477",42.36,-71.89
"01501",42.20,-71.83
"01503",42.38,-71.63
"01504",42.02,-71.52
"01505",42.33,-71.73
"01506",42.19,-72.09
"01507",42.13,-71.96
"01508",42.10,-72.07
"01509",42.36,-71.89
"01510",42.41,-71.68
"01515",42.21,-72.04
"01516",42.05,-71.75
"01517",42.36,-71.89
"01518",42.12,-72.11
"01519",42.20,-71.68
"01520",42.34,-71.84
"01521",42.04,-72.15
"01522",42.37,-71.87
"01523",42.45,-71.68
"01524",42.23,-71.91
"01525",42.36,-71.89
"01526",42.36,-71.89
"01527",42.19,-71.76
"01529",42.03,-71.57
"01531",42.31,-72.13
"01532",42.31,-71.64
"01534",42.14,-71.65
"01535",42.26,-72.08
"01536",42.22,-71.70
"01537",42.16,-71.88
"01538",42.36,-71.89
"01539",42.35,-71.78
"01540",42.11,-71.86
"01541",42.45,-71.87
"01542",42.19,-71.90
"01543",42.37,-71.94
"01545",42.28,-71.72
"01546",42.36,-71.89
"01550",42.07,-72.03
"01560",42.17,-71.69
"01561",42.44,-71.68
"01562",42.24,-71.99
"01564",42.43,-71.77
"01566",42.11,-72.08
"01568",42.17,-71.60
"01569",42.07,-71.63
"01570",42.05,-71.84
"01571",42.04,-71.89
"01580",42.36,-71.89
"01581",42.26,-71.61
"01582",42.36,-71.89
"01583",42.35,-71.78
"01585",42.24,-72.15
"01586",42.36,-71.89
"01587",42.17,-71.62
"01588",42.11,-71.66
"01590",42.12,-71.75
"01601",42.26,-71.87
"01602",42.27,-71.84
"01603",42.24,-71.83
"01604",42.25,-71.77
"01605",42.28,-71.78
"01606",42.31,-71.79
"01607",42.23,-71.79
"01608",42.26,-71.80
"01609",42.28,-71.82
"01610",42.24,-71.81
"01611",42.23,-71.87
"01612",42.30,-71.92
"01613",42.29,-71.80
"01614",42.36,-71.89
"01615",42.36,-71.89
"01653",42.36,-71.89
"01654",42.36,-71.89
"01655",42.36,-71.89
"01701",42.30,-71.42
"01702",42.28,-71.43
"01703",42.44,-71.45
"01704",42.44,-71.45
"01705",42.44,-71.45
"01718",42.51,-71.42
"01719",42.48,-71.51
"01720",42.47,-71.44
"01721",42.25,-71.45
"01730",42.48,-71.27
"01731",42.45,-71.27
"01740",42.43,-71.60
"01741",42.52,-71.35
"01742",42.45,-71.37
"01745",42.29,-71.50
"01746",42.20,-71.43
"01747",42.12,-71.53
"01748",42.21,-71.53
"01749",42.39,-71.56
"01752",42.35,-71.54
"01754",42.43,-71.45
"01756",42.09,-71.54
"01757",42.15,-71.52
"01760",42.28,-71.35
"01770",42.23,-71.37
"01772",42.29,-71.53
"01773",42.42,-71.31
"01775",42.43,-71.51
"01776",42.38,-71.42
"01778",42.34,-71.35
"01784",42.44,-71.45
"01801",42.48,-71.15
"01803",42.50,-71.20
"01805",42.44,-71.45
"01806",42.44,-71.45
"01807",42.44,-71.45
"01808",42.44,-71.45
"01810",42.64,-71.15
"01812",42.64,-71.18
"01813",42.44,-71.45
"01814",42.50,-71.12
"01815",42.44,-71.45
"01821",42.55,-71.25
"01822",42.44,-71.45
"01824",42.59,-71.35
"01826",42.67,-71.31
"01827",42.67,-71.49
"01830",42.78,-71.07
"01831",42.77,-71.12
"01832",42.77,-71.10
"01833",42.72,-70.98
"01834",42.75,-71.02
"01835",42.75,-71.08
"01840",42.70,-71.16
"01841",42.71,-71.16
"01842",42.63,-70.87
"01843",42.69,-71.16
"01844",42.72,-71.18
"01845",42.68,-71.10
"01850",42.65,-71.30
"01851",42.63,-71.33
"01852",42.63,-71.29
